	CCMD34381688ST-21-0_erectale.tsv	G78505_erectale.tsv	G88884_erectale.tsv	G88970_erectale.tsv	G89027_erectale.tsv	H2M514903_erectale.tsv	HD-1_erectale.tsv	T2D-063_erectale.tsv	T2D-105_erectale.tsv
UniRef90_A0A069A530	0	1	0	0	0	1	1	1	1
UniRef90_A0A076YZQ3	1	0	1	0	1	1	1	1	1
UniRef90_A0A095XLP0	1	1	1	1	1	1	1	1	1
UniRef90_A0A095XNF2	1	1	1	1	1	1	1	1	0
UniRef90_A0A095ZX26	0	0	1	1	0	0	0	0	0
UniRef90_A0A0D0SCG4	0	0	1	0	1	0	0	0	0
UniRef90_A0A0D1AIV7	1	1	1	1	0	1	0	0	1
UniRef90_A0A0D8IZG0	1	0	1	0	0	0	0	0	0
UniRef90_A0A0D8J402	1	1	1	1	1	0	1	1	0
UniRef90_A0A0E2H0J4	1	0	1	1	1	1	1	1	0
UniRef90_A0A0E2H2A6	1	1	1	1	1	1	1	1	1
UniRef90_A0A0E2H2C3	1	1	1	1	0	1	1	0	0
UniRef90_A0A0E2H2C7	1	1	1	1	1	1	1	0	0
UniRef90_A0A0E2H347	1	1	1	1	1	1	1	0	0
UniRef90_A0A0E2H3X5	1	0	1	0	0	0	1	0	0
UniRef90_A0A0E2H7K2	0	0	1	0	0	0	1	0	0
UniRef90_A0A0E2H824	0	0	1	0	1	1	1	0	1
UniRef90_A0A0E2HG87	1	1	1	1	1	1	1	0	0
UniRef90_A0A0E2HGP2	0	1	0	0	0	1	1	0	1
UniRef90_A0A0E2HH31	0	0	0	1	0	0	1	1	0
UniRef90_A0A0E9FSE3	1	1	1	1	1	1	1	1	1
UniRef90_A0A0J0U668	1	1	1	1	1	1	1	1	1
UniRef90_A0A0J1IZ44	1	0	1	1	1	1	1	1	0
UniRef90_A0A0J1J7C8	1	1	1	1	1	1	0	1	1
UniRef90_A0A0K2Y5T8	1	1	1	1	1	1	1	1	1
UniRef90_A0A0K9N8F7	0	0	0	1	1	0	1	0	1
UniRef90_A0A0K9NBB8	1	1	1	1	1	1	1	1	1
UniRef90_A0A0L0QLX7	1	0	0	1	0	0	1	0	0
UniRef90_A0A0M1IXJ3	0	0	0	0	0	1	1	1	0
UniRef90_A0A0M6W8Q5	1	1	1	1	1	1	1	1	1
UniRef90_A0A0M6W8V4	0	0	1	1	0	0	0	0	0
UniRef90_A0A0M6W8X1	0	0	1	1	0	0	0	0	0
UniRef90_A0A0M6W8Z6	1	1	1	1	1	1	1	1	0
